DATE,PRODUCT,POS_GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],POS_GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h],NEG_GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],NEG_GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h]
2021-02-19 00:00:00,00_04,3.5411,4.235,6.5865,9.5525
2021-02-19 04:00:00,04_08,7.0693,7.9625,3.374,4.695
2021-02-19 08:00:00,08_12,8.0953,9.0,0.7508,1.1125
2021-02-19 12:00:00,12_16,3.3255,3.6675,0.8803,1.25
2021-02-19 16:00:00,16_20,7.5069,8.96,0.8367,1.21
2021-02-19 20:00:00,20_24,4.439,5.36,1.2122,1.875
2021-02-20 00:00:00,00_04,2.4442,2.8625,5.0822,6.0
2021-02-20 04:00:00,04_08,4.5555,5.1925,3.0553,3.94
2021-02-20 08:00:00,08_12,4.8941,5.7525,0.7937,1.5
2021-02-20 12:00:00,12_16,2.4906,2.75,1.9242,5.0
2021-02-20 16:00:00,16_20,5.4835,6.43,0.8605,1.4025
2021-02-20 20:00:00,20_24,2.9212,3.24,2.0836,4.265
2021-02-21 00:00:00,00_04,1.6838,2.32,9.5779,19.25
2021-02-21 04:00:00,04_08,3.2859,3.75,9.0161,19.5
2021-02-21 08:00:00,08_12,3.5092,4.23,2.7588,5.13
2021-02-21 12:00:00,12_16,1.8708,2.27,3.5679,5.87
2021-02-21 16:00:00,16_20,5.3688,6.87,1.0409,1.53
2021-02-21 20:00:00,20_24,2.254,2.6,1.9585,2.78
2021-02-22 00:00:00,00_04,18.1619,34.09,7.8585,13.75
2021-02-22 04:00:00,04_08,32.9394,73.0,4.2344,6.6175
2021-02-22 08:00:00,08_12,8.7397,23.34,1.351,2.345
2021-02-22 12:00:00,12_16,4.2758,7.2125,1.835,2.9775
2021-02-22 16:00:00,16_20,10.6768,22.8325,0.6569,0.8775
2021-02-22 20:00:00,20_24,6.0536,11.0,1.0571,1.5575
2021-02-23 00:00:00,00_04,9.3427,13.0025,6.7418,8.5
2021-02-23 04:00:00,04_08,14.575,18.75,3.3615,4.3
2021-02-23 08:00:00,08_12,10.0573,12.6875,1.1087,1.6875
2021-02-23 12:00:00,12_16,4.012,4.595,1.5861,2.585
2021-02-23 16:00:00,16_20,10.3559,12.6875,0.5355,0.7175
2021-02-23 20:00:00,20_24,5.7256,6.525,1.0035,1.415
2021-02-24 00:00:00,00_04,5.3789,6.75,6.3666,7.79
2021-02-24 04:00:00,04_08,9.6209,10.95,3.3143,4.3
2021-02-24 08:00:00,08_12,8.2746,9.255,1.1915,2.36
2021-02-24 12:00:00,12_16,3.3409,3.72,2.8025,8.78
2021-02-24 16:00:00,16_20,8.6056,9.515,0.541,0.955
2021-02-24 20:00:00,20_24,4.872,5.3375,1.0409,1.51
2021-02-25 00:00:00,00_04,4.3543,5.0625,6.5056,9.4275
2021-02-25 04:00:00,04_08,7.982,9.6125,3.1014,4.3175
2021-02-25 08:00:00,08_12,7.3989,8.725,1.1566,1.6525
2021-02-25 12:00:00,12_16,2.9413,3.4875,3.0874,5.25
2021-02-25 16:00:00,16_20,8.5341,9.565,0.5036,0.75
2021-02-25 20:00:00,20_24,4.37,4.8075,0.9439,1.25
2021-02-26 00:00:00,00_04,3.5098,4.075,5.8512,6.7525
2021-02-26 04:00:00,04_08,7.0915,8.33,2.5825,3.4825
2021-02-26 08:00:00,08_12,6.849,7.875,0.998,1.25
2021-02-26 12:00:00,12_16,2.7193,3.25,2.6798,3.76
2021-02-26 16:00:00,16_20,7.7066,8.5,0.4864,0.75
2021-02-26 20:00:00,20_24,3.563,4.1125,0.9381,1.2
2021-02-27 00:00:00,00_04,2.2729,2.6225,5.0547,5.85
2021-02-27 04:00:00,04_08,4.3276,4.92,2.3602,2.99
2021-02-27 08:00:00,08_12,4.6131,5.16,0.8446,1.11
2021-02-27 12:00:00,12_16,2.0942,2.3175,2.877,4.545
2021-02-27 16:00:00,16_20,6.2728,7.5,0.5545,0.7175
2021-02-27 20:00:00,20_24,2.873,3.5,1.0168,1.815
2021-02-28 00:00:00,00_04,1.709,2.09,4.771,7.25
2021-02-28 04:00:00,04_08,2.9915,3.5,2.5854,4.945
2021-02-28 08:00:00,08_12,3.2963,3.9925,1.2492,2.5
2021-02-28 12:00:00,12_16,1.7109,1.97,3.8667,6.1425
2021-02-28 16:00:00,16_20,5.8843,6.735,0.647,1.1125
2021-02-28 20:00:00,20_24,2.2326,2.4925,1.0715,1.365
2021-03-01 00:00:00,00_04,16.4586,22.725,4.8067,7.17
2021-03-01 04:00:00,04_08,27.2735,40.3325,2.4703,3.3325
2021-03-01 08:00:00,08_12,11.8748,17.1675,1.0958,1.7275
2021-03-01 12:00:00,12_16,4.7352,5.78,2.1421,2.75
2021-03-01 16:00:00,16_20,12.862,17.5,0.562,0.8
2021-03-01 20:00:00,20_24,6.2287,7.8725,0.8637,1.22
2021-03-02 00:00:00,00_04,10.0928,12.5,4.218,5.505
